Month,"Active Listings, Number of","Sales, Number of",Consumer Price Index,#_of_New_Listings,Sales_Volume,Expired_Listings
1/1/2010,"12,744",649,216.687,"2,174"," $66,449,036.00 ","1,969"
2/1/2010,"12,946",711,216.741,"2,143"," $75,823,695.00 ","1,792"
3/1/2010,"13,559","1,137",217.631,"3,161"," $129,276,059.00 ","2,142"
4/1/2010,"13,892","1,289",218.009,"3,106"," $147,547,380.00 ","2,060"
5/1/2010,"14,158","1,416",218.178,"2,374"," $171,784,178.00 ","1,899"
6/1/2010,"15,023","1,349",217.965,"2,877"," $172,034,080.00 ","2,496"
7/1/2010,"15,161",977,218.011,"2,727"," $111,865,590.00 ","2,422"
8/1/2010,"15,287","1,102",218.312,"2,720"," $125,747,365.00 ","2,762"
9/1/2010,"15,220",957,218.439,"2,311"," $106,764,552.00 ","2,901"
10/1/2010,"14,560",912,218.711,"2,046"," $93,893,471.00 ","2,824"
11/1/2010,"14,197",809,218.803,"1,770"," $86,448,209.00 ","2,369"
12/1/2010,"13,355",928,219.179,"1,688"," $108,203,400.00 ","3,581"
1/1/2011,"12,811",688,220.223,"1,987"," $64,921,111.00 ","1,874"
2/1/2011,"12,907",771,221.309,"2,000"," $77,019,307.00 ","1,841"
3/1/2011,"13,323",958,223.467,"2,730"," $85,268,052.00 ","2,100"
4/1/2011,"13,568",978,224.906,"2,549"," $101,870,455.00 ","2,015"
5/1/2011,"13,866","1,204",225.964,"2,580"," $131,789,935.00 ","1,976"
6/1/2011,"14,068","1,236",225.722,"2,442"," $145,338,972.00 ","2,362"
7/1/2011,"13,750","1,112",225.922,"2,206"," $128,906,988.00 ","2,197"
8/1/2011,"13,665","1,192",226.545,"2,314"," $134,223,085.00 ","2,161"
9/1/2011,"13,329","1,093",226.889,"1,865"," $120,784,764.00 ","2,594"
10/1/2011,"12,883","1,007",226.421,"1,926"," $111,086,160.00 ","2,428"
11/1/2011,"12,182",883,226.23,"1,559"," $92,615,208.00 ","2,430"
12/1/2011,"11,294",906,225.672,"1,331"," $92,700,974.00 ","3,272"
1/1/2012,"10,666",741,226.655,"1,892"," $68,788,352.00 ","1,757"
2/1/2012,"10,549",829,227.663,"1,977"," $81,140,967.00 ","1,554"
3/1/2012,"10,700","1,096",229.392,"2,435"," $117,265,443.00 ","1,873"
4/1/2012,"11,005","1,089",230.085,"2,402"," $134,358,339.00 ","1,732"
5/1/2012,"11,260","1,317",229.815,"2,468"," $157,226,516.00 ","1,788"
6/1/2012,"11,363","1,242",229.478,"2,355"," $146,647,147.00 ","2,126"
7/1/2012,"11,302","1,278",229.104,"2,327"," $150,361,796.00 ","2,025"
8/1/2012,"11,189","1,333",230.379,"2,218"," $160,492,112.00 ","2,067"
9/1/2012,"10,983","1,154",231.407,"1,886"," $134,346,862.00 ","2,336"
10/1/2012,"10,697","1,252",231.317,"2,050"," $143,328,196.00 ","2,416"
11/1/2012,"10,300","1,071",230.221,"1,609"," $121,343,690.00 ","2,207"
12/1/2012,"9,514",960,229.601,"1,188"," $107,811,123.00 ","3,378"
